Airline,Date,Value,Status,Country,Region,IATA
Northwest Airlines,2004'Q4,11279.0,merged with Delta 2008,US,North America,NW
Air Canada,2004'Q4,7298.0,public,CA,North America,AC
Air France-KLM,2004'Q4,24676.0,public,EU,Europe,AF/KL
Ryanair,2004'Q4,1710.0,public,EU,Europe,FR
easyJet,2004'Q4,1962.0,public,EU,Europe,U2
Finnair,2004'Q4,2317.0,public,EU,Europe,AY
Singapore Airlines,2004'Q4,7281.0,public,SG,Asia Pacific,SQ
Qantas Airways,2004'Q4,7822.0,public,AU,Asia Pacific,QF
Cathay Pacific,2004'Q4,5026.0,public,HK,Asia Pacific,CX
LATAM Airlines,2004'Q4,2142.0,public,CL,Latin America,LA
Air China,2004'Q4,4105.0,public,CN,China,CA
China Eastern,2004'Q4,2589.0,public,CN,China,MU
China Southern,2004'Q4,2902.0,public,CN,China,CZ
Hainan Airlines,2004'Q4,994.0,public,CN,China,HU
Aeroflot,2004'Q4,2173.0,"taken private 2023, war",RU,Russia,SU
American Airlines,2005'Q1,19162.0,public,US,North America,AA
Delta Air Lines,2005'Q1,15546.0,public,US,North America,DL
Southwest Airlines,2005'Q1,6794.0,public,US,North America,WN
United Airlines,2005'Q1,16638.0,public,US,North America,UA
Alaska Air,2005'Q1,2787.0,public,US,North America,AS
JetBlue,2005'Q1,1374.0,public,US,North America,B6
SkyWest,2005'Q1,1358.0,public,US,North America,OO
Northwest Airlines,2005'Q1,11531.0,merged with Delta 2008,US,North America,NW
Air Canada,2005'Q1,7504.0,public,CA,North America,AC
Air France-KLM,2005'Q1,25161.0,public,EU,Europe,AF/KL
Ryanair,2005'Q1,1795.0,public,EU,Europe,FR
easyJet,2005'Q1,2064.0,public,EU,Europe,U2
Finnair,2005'Q1,2298.0,public,EU,Europe,AY
Singapore Airlines,2005'Q1,7522.0,public,SG,Asia Pacific,SQ
Qantas Airways,2005'Q1,8265.0,public,AU,Asia Pacific,QF
Cathay Pacific,2005'Q1,5411.0,public,HK,Asia Pacific,CX
LATAM Airlines,2005'Q1,2247.0,public,CL,Latin America,LA
Air China,2005'Q1,4269.0,public,CN,China,CA
China Eastern,2005'Q1,2799.0,public,CN,China,MU
China Southern,2005'Q1,3365.0,public,CN,China,CZ
Hainan Airlines,2005'Q1,1053.0,public,CN,China,HU
Aeroflot,2005'Q1,2280.0,"taken private 2023, war",RU,Russia,SU
American Airlines,2005'Q2,19679.0,public,US,North America,AA
Delta Air Lines,2005'Q2,15858.0,public,US,North America,DL
Southwest Airlines,2005'Q2,7057.0,public,US,North America,WN
United Airlines,2005'Q2,16885.0,public,US,North America,UA
Alaska Air,2005'Q2,2850.0,public,US,North America,AS
JetBlue,2005'Q2,1483.0,public,US,North America,B6
