Airline,Date,Revenue,Status,Country,Region,IATA
Air Canada,2005'Q2,12.0,public,CA,North America,AC
Air France-KLM,2005'Q2,35.0,public,EU,Europe,AF/KL
Ryanair,2005'Q2,25.0,public,EU,Europe,FR
easyJet,2005'Q2,23.0,public,EU,Europe,U2
Finnair,2005'Q2,6.0,public,EU,Europe,AY
Singapore Airlines,2005'Q2,19.0,public,SG,Asia Pacific,SQ
Qantas Airways,2005'Q2,13.0,public,AU,Asia Pacific,QF
Cathay Pacific,2005'Q2,31.0,public,HK,Asia Pacific,CX
LATAM Airlines,2005'Q2,24.0,public,CL,Latin America,LA
Air China,2005'Q2,27.0,public,CN,China,CA
China Eastern,2005'Q2,41.0,public,CN,China,MU
China Southern,2005'Q2,51.0,public,CN,China,CZ
Hainan Airlines,2005'Q2,39.0,public,CN,China,HU
Aeroflot,2005'Q2,22.0,"taken private 2023, war",RU,Russia,SU
American Airlines,2005'Q3,10.0,public,US,North America,AA
Delta Air Lines,2005'Q3,8.0,public,US,North America,DL
Southwest Airlines,2005'Q3,15.0,public,US,North America,WN
United Airlines,2005'Q3,7.0,public,US,North America,UA
Alaska Air,2005'Q3,10.0,public,US,North America,AS
JetBlue,2005'Q3,33.0,public,US,North America,B6
SkyWest,2005'Q3,60.0,public,US,North America,OO
Northwest Airlines,2005'Q3,10.0,merged with Delta 2008,US,North America,NW
